Condition,Condition_long,Claim_type1,Num_dx1,Claim_type2,Num_dx2,Min_Days_Apart,Max_Days_apart,Ref_months,Source
HYPOTH,Acquired Hypothyroidism,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ALZH,Alzheimer's Disease,"IP,SNF,HHA,OP,CAR",1,,,1,,36,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ALZHDMT,Alzheimer's Disease and Related Disorders or Senile Dementia,"IP,SNF,HHA,OP,CAR",1,,,1,,36,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ATRIALF,Atrial Fibrillation,IP,1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
AMI,Acute Myocardial Infarction,IP,1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ASTHMA,Asthma,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CNCRBRST,Female Breast Cancer,"IP,SNF",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CATARACT,Cataract,"OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CHRNKDN,Chronic Kidney Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
COPD,Chronic Obstructive Pulmonary Disease,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CNCRCLR,Colorectal Cancer,"IP,SNF",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
DEPRESSN,Depression,"IP,SNF,HHA,OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
DIABETES,Diabetes,"IP,SNF,HHA",1,"OP,CAR",2,1,,24,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CNCREND,Endometrial Cancer,"IP,SNF",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
GLAUCOMA,Glaucoma,CAR,1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CHF,Heart Failure,"IP,OP,CAR",1,,,1,,24,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
HIPFRAC,Hip/Pelvic Fracture,"IP,SNF",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
HYPERL,Hyperlipedemia,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
HYPERT,Hypertension,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ISCHMCHT,Ischemic Heart Disease,"IP,SNF,HHA,OP,CAR",1,,,1,,24,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CNCRLNG,Lung Cancer,"IP,SNF",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
OSTEOPRS,Osteoporosis,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
CNCRPRST,Prostate Cancer,"IP,SNF",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
RAOA,Rheumatoid Arthritis/Osteoarthritis,"IP,SNF,HHA,OP,CAR",2,,,1,,24,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
STRKETIA,Stroke/Transient Ischemic Attack,IP,1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
ANEMIA,Anemia,"IP,SNF,HHA,OP,CAR",1,,,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
HYPERP,Benign Prostatic Hyperplasia,"IP,SNF,HHA",1,"OP,CAR",2,1,,12,CMS Chronic Condition Data Warehouse Condition Categories (Aug. 2017)
